TXID, Created, Received, Sent, TXtype, TXdesc, TXNotes
,2018-06-01T23:21:29+00:00,0.01694067,,Other,Contact #22694991 release
,2018-06-02T01:15:56+00:00,0.02284819,,Other,Contact #22699450 release
,2018-06-02T02:37:27+00:00,0.01979880,,Other,Contact #22700714 release
,2018-06-02T17:20:19+00:00,,0.00745895,Other,"Bitcoin reserve, contact #22732880 neb_401 (1000+; 99%)"
,2018-06-02T17:25:22+00:00,0.00745895,,Other,Contact #22732880 trade canceled
,2018-06-02T17:25:41+00:00,,0.00484076,Other,"Bitcoin reserve, contact #22733190 neb_401 (1000+; 99%)"
,2018-06-02T17:31:59+00:00,,0.02904452,Other,"Bitcoin reserve, contact #22733503 neb_401 (1000+; 99%)"
,2018-06-02T17:34:02+00:00,0.02904452,,Other,Contact #22733503 trade canceled
,2018-06-02T18:34:17+00:00,,0.01565500,Other,"Bitcoin reserve, contact #22736674 neb_401 (1000+; 99%)"
,2018-06-02T18:35:13+00:00,,0.05034383,Other,"Bitcoin reserve, contact #22736721 neb_401 (1000+; 99%)"
,2018-06-02T18:57:22+00:00,,0.01287641,Other,"Bitcoin reserve, contact #22737811 neb_401 (1000+; 99%)"
,2018-06-02T20:08:04+00:00,0.01565500,,Other,Contact #22736674 payment timeout from buyer
,2018-06-02T22:09:17+00:00,,0.01565500,Other,Contact #22736674 reopen
,2018-06-02T23:57:40+00:00,,0.01691406,Other,"Bitcoin reserve, contact #22748627 neb_401 (1000+; 99%)"
,2018-06-03T00:23:36+00:00,,0.00472909,Other,"Bitcoin reserve, contact #22749220 neb_401 (1000+; 99%)"
,2018-06-03T01:21:15+00:00,,0.00945818,Other,"Bitcoin reserve, contact #22750289 neb_401 (1000+; 99%)"
,2018-06-03T01:22:24+00:00,,0.00945818,Other,"Bitcoin reserve, contact #22750313 neb_401 (1000+; 99%)"
,2018-06-03T02:00:00+00:00,0.00945818,,Other,Contact #22750313 trade canceled
,2018-06-03T15:05:44+00:00,,0.12820462,Other,"Bitcoin reserve, contact #22771689 neb_401 (1000+; 99%)"
,2018-06-03T15:06:01+00:00,,0.14792842,Other,"Bitcoin reserve, contact #22771709 neb_401 (1000+; 99%)"
,2018-06-03T15:07:39+00:00,,0.00986189,Other,"Bitcoin reserve, contact #22771789 neb_401 (1000+; 99%)"
,2018-06-03T15:08:27+00:00,,0.00986189,Other,"Bitcoin reserve, contact #22771825 neb_401 (1000+; 99%)"
,2018-06-03T15:08:53+00:00,0.00986189,,Other,Contact #22771789 trade canceled
,2018-06-03T15:15:14+00:00,,0.05917137,Other,"Bitcoin reserve, contact #22772087 neb_401 (1000+; 99%)"
,2018-06-03T15:21:59+00:00,,0.00450000,Send to address,15TWTk9sRrg6uJZi3fQCsrf79KGgswScvW
,2018-06-03T15:21:59+00:00,,0.00005000,Other,fee
,2018-06-03T15:31:41+00:00,0.00986189,,Other,Contact #22771825 trade canceled
,2018-06-03T16:15:32+00:00,0.12820462,,Other,Contact #22771689 trade canceled
,2018-06-03T16:59:30+00:00,,0.02357709,Other,"Bitcoin reserve, contact #22776514 neb_401 (1000+; 99%)"
,2018-06-03T17:09:55+00:00,,0.00471542,Other,"Bitcoin reserve, contact #22777075 neb_401 (1000+; 99%)"
,2018-06-03T17:30:35+00:00,,0.11882877,Other,"Bitcoin reserve, contact #22777927 neb_401 (1000+; 99%)"
,2018-06-03T18:08:35+00:00,0.00471542,,Other,Contact #22777075 trade canceled
,2018-06-03T18:54:20+00:00,0.00472909,,Other,Contact #22749220 trade canceled
,2018-06-03T21:12:41+00:00,,0.00952175,Other,Bitcoin sell #22785673 jacobo.celis (1000+; 100%)
,2018-06-04T01:55:30+00:00,0.02000000,,Other,3EcyHA2qMfw6xbHdeDdyXYHT7AkhLEd9bx
,2018-06-04T01:55:30+00:00,,0.00015000,Other,Deposit fee
,2018-06-04T02:04:54+00:00,0.04608449,,Other,Contact #22790613 release
,2018-06-04T17:14:26+00:00,,0.02750000,Other,N=Kevin-Charles P=300 ID=26526
,2018-06-04T19:04:30+00:00,,0.00984640,Other,"Bitcoin reserve, contact #22828375 neb_401 (1000+; 99%)"
,2018-06-04T19:19:11+00:00,,0.00955000,Other,N=Olivier-dube P=100.00 id=9255
,2018-06-04T19:30:16+00:00,0.00545387,,Other,Contact #22827979 release
,2018-06-04T19:36:37+00:00,0.00984640,,Other,Contact #22828375 trade canceled
,2018-06-04T20:50:46+00:00,0.09840651,,Other,Contact #22831467 release
,2018-06-04T20:55:59+00:00,,0.00495643,Other,"Bitcoin reserve, contact #22833217 neb_401 (1000+; 99%)"
,2018-06-04T20:56:19+00:00,0.00495643,,Other,Contact #22833217 trade canceled
,2018-06-04T21:06:16+00:00,,0.00230567,Other,"Bitcoin reserve, contact #22833591 neb_401 (1000+; 99%)"
,2018-06-04T21:10:22+00:00,0.00851298,,Other,Contact #22831378 release
,2018-06-04T22:44:28+00:00,0.16527945,,Other,Contact #22831887 release
,2018-06-05T01:10:25+00:00,,0.00460889,Other,"Bitcoin reserve, contact #22840367 neb_401 (1000+; 99%)"
,2018-06-05T19:32:27+00:00,,0.00949460,Other,N=Olivier-dube P=100.00 id=9357
,2018-06-05T19:56:08+00:00,0.01960165,,Other,Contact #22881524 release
,2018-06-05T20:14:28+00:00,0.06450387,,Other,Contact #22882095 release
,2018-06-05T23:13:00+00:00,,0.00757502,Other,"Bitcoin reserve, contact #22891715 neb_401 (1000+; 99%)"
,2018-06-06T05:09:02+00:00,,0.00440000,Send to address,15TWTk9sRrg6uJZi3fQCsrf79KGgswScvW
,2018-06-06T05:09:02+00:00,,0.00005000,Other,fee
,2018-06-06T05:13:06+00:00,,0.00010000,Send to address,15TWTk9sRrg6uJZi3fQCsrf79KGgswScvW
,2018-06-06T05:13:06+00:00,,0.00005000,Other,fee
,2018-06-06T05:30:21+00:00,,0.00510016,Other,"Bitcoin reserve, contact #22898098 neb_401 (1000+; 99%)"
,2018-06-06T05:41:18+00:00,,0.00927301,Other,"Bitcoin reserve, contact #22898266 neb_401 (1000+; 99%)"
,2018-06-06T07:12:25+00:00,,0.02428369,Other,"Bitcoin reserve, contact #22900086 neb_401 (1000+; 99%)"
,2018-06-06T14:47:23+00:00,,0.01900000,Send to address,3HSiKsHVPsGYR5hPtnStMAzziRgDYzDEoZ
,2018-06-06T14:47:23+00:00,,0.00005000,Other,fee
,2018-06-06T18:32:03+00:00,0.04096249,,Other,3MrL83xdbUZD32BpBU7qpKtXSSdLkDe9mw
,2018-06-06T18:32:03+00:00,,0.00015000,Other,Deposit fee
,2018-06-06T19:27:59+00:00,0.01964689,,Other,Contact #22932184 release
,2018-06-06T20:44:21+00:00,,0.00480000,Send to address,15TWTk9sRrg6uJZi3fQCsrf79KGgswScvW
,2018-06-06T20:44:21+00:00,,0.00005000,Other,fee
,2018-06-06T20:58:02+00:00,,0.00462446,Other,"Bitcoin reserve, contact #22939788 neb_401 (1000+; 99%)"
,2018-06-08T17:13:13+00:00,,0.00943466,Other,N=OLivier-Dube P=100 94%
,2018-06-08T17:47:54+00:00,,0.00349189,Other,"Bitcoin reserve, contact #23037691 neb_401 (1000+; 99%)"
,2018-06-08T17:48:22+00:00,0.00349189,,Other,Contact #23037691 trade canceled
,2018-06-08T17:49:26+00:00,,0.09976836,Other,"Bitcoin reserve, contact #23037770 neb_401 (1000+; 99%)"
,2018-06-08T17:50:33+00:00,,0.05237839,Other,"Bitcoin reserve, contact #23037832 neb_401 (1000+; 99%)"
,2018-06-08T17:55:51+00:00,,0.12625686,Other,"Bitcoin reserve, contact #23038156 neb_401 (1000+; 99%)"
,2018-06-08T18:04:35+00:00,0.04260914,,Other,Contact #23037163 release
,2018-06-08T18:12:38+00:00,,0.01496525,Other,"Bitcoin reserve, contact #23039298 neb_401 (1000+; 99%)"
,2018-06-08T18:23:49+00:00,,0.03491892,Other,"Bitcoin reserve, contact #23039953 neb_401 (1000+; 99%)"
,2018-06-08T18:24:24+00:00,,0.02221999,Other,"Bitcoin reserve, contact #23039984 neb_401 (1000+; 99%)"
,2018-06-08T18:52:42+00:00,0.03491892,,Other,Contact #23039953 trade canceled
,2018-06-08T19:28:01+00:00,,0.02222021,Other,"Bitcoin reserve, contact #23043570 neb_401 (1000+; 99%)"
,2018-06-08T19:42:22+00:00,0.03835021,,Other,Contact #23039727 release
,2018-06-08T20:11:19+00:00,,0.03243753,Other,"Bitcoin reserve, contact #23045744 neb_401 (1000+; 99%)"
,2018-06-08T20:22:54+00:00,,0.02994234,Other,"Bitcoin reserve, contact #23046304 neb_401 (1000+; 99%)"
,2018-06-08T20:33:44+00:00,0.02994234,,Other,Contact #23046304 trade canceled
,2018-06-08T20:52:09+00:00,0.03243753,,Other,Contact #23045744 trade canceled
,2018-06-08T22:31:22+00:00,0.05742039,,Other,Contact #23048170 release
,2018-06-10T01:39:07+00:00,0.01005891,,Other,Contact #23112481 release
,2018-06-10T02:44:24+00:00,0.03752148,,Other,Contact #23113570 release
,2018-06-10T05:58:51+00:00,0.07523992,,Other,Contact #23116383 release
,2018-06-10T15:07:33+00:00,,0.03966215,Other,N=Olivier-dube P=400.00 ID=37246
,2018-06-10T15:31:37+00:00,,0.15150025,Other,"Bitcoin reserve, contact #23141967 neb_401 (1000+; 99%)"
,2018-06-10T15:32:47+00:00,0.03291766,,Other,Contact #23141682 release
,2018-06-10T15:47:20+00:00,,0.01028571,Other,"Bitcoin reserve, contact #23142796 neb_401 (1000+; 99%)"
,2018-06-10T15:53:33+00:00,0.15150025,,Other,Contact #23141967 trade canceled
,2018-06-10T15:54:39+00:00,,0.10285709,Other,"Bitcoin reserve, contact #23143524 neb_401 (1000+; 99%)"
,2018-06-10T17:35:14+00:00,0.01881023,,Other,Contact #23147717 release
,2018-06-10T20:36:23+00:00,0.03405578,,Other,Contact #23149465 release
,2018-06-10T23:29:15+00:00,0.02549168,,Other,Contact #23152862 release
,2018-06-11T00:21:32+00:00,0.02383136,,Other,Contact #23163949 release
,2018-06-11T01:42:49+00:00,0.02384152,,Other,Contact #23163301 release
,2018-06-11T14:27:35+00:00,,0.10741881,Other,"Bitcoin reserve, contact #23193628 neb_401 (1000+; 99%)"
,2018-06-11T14:34:17+00:00,0.10741881,,Other,Contact #23193628 trade canceled
,2018-06-11T17:02:08+00:00,0.10224199,,Other,3KY29BqwYZCCchBFHuALpCYWce1TxaQ31x
,2018-06-11T17:02:08+00:00,,0.00015000,Other,Deposit fee
,2018-06-11T18:01:39+00:00,,0.19533203,Other,"Bitcoin reserve, contact #23207761 neb_401 (1000+; 99%)"
,2018-06-11T18:53:34+00:00,,0.03075487,Other,"Bitcoin reserve, contact #23211043 neb_401 (1000+; 99%)"
,2018-06-11T20:09:36+00:00,,0.01653488,Other,"Bitcoin reserve, contact #23214957 neb_401 (1000+; 99%)"
,2018-06-11T20:24:04+00:00,0.03075487,,Other,Contact #23211043 payment timeout from buyer
,2018-06-11T20:46:11+00:00,,0.02221957,Other,"Bitcoin reserve, contact #23216595 neb_401 (1000+; 99%)"
