TXID, Created, Received, Sent, TXtype, TXdesc, TXNotes
,2018-01-08T03:13:38+00:00,0.03552691,,Trade,
,2018-01-08T03:20:37+00:00,,0.01856842,Withdraw,
,2018-01-08T03:49:42+00:00,0.01187977,,Trade,
,2018-01-08T03:51:02+00:00,,0.03799870,Withdraw,
,2018-01-08T03:53:05+00:00,,0.04749839,Withdraw,
,2018-01-08T03:57:00+00:00,0.03799870,,Trade,
,2018-01-08T03:57:42+00:00,,0.03799870,Withdraw,
,2018-01-08T03:57:59+00:00,0.03799870,,Trade,
,2018-01-08T04:07:32+00:00,0.04749839,,Trade,
,2018-01-08T04:07:57+00:00,,0.01424951,Withdraw,
,2018-01-08T04:21:22+00:00,,0.04749839,Withdraw,
,2018-01-08T04:22:25+00:00,,0.01424951,Withdraw,
,2018-01-08T04:30:41+00:00,,0.11874596,Withdraw,
,2018-01-08T04:36:16+00:00,,0.00593730,Withdraw,
,2018-01-08T05:25:49+00:00,,0.02612411,Withdraw,
,2018-01-08T05:28:51+00:00,,0.00949968,Withdraw,
,2018-01-08T05:29:44+00:00,0.00949968,,Trade,
,2018-01-08T06:08:03+00:00,0.00593730,,Trade,
,2018-01-08T07:10:20+00:00,0.10487966,,Trade,
,2018-01-08T19:32:35+00:00,,0.03037563,Withdraw,
,2018-01-08T19:35:00+00:00,0.03037563,,Trade,
,2018-01-08T19:37:09+00:00,0.03096048,,Trade,
,2018-01-08T20:44:57+00:00,,0.02553664,Withdraw,
,2018-01-08T21:05:41+00:00,,0.10214654,Withdraw,
,2018-01-08T21:05:52+00:00,,0.03064397,Withdraw,
,2018-01-08T21:23:27+00:00,0.10214654,,Trade,
,2018-01-08T21:28:52+00:00,,0.03420581,Withdraw,
,2018-01-08T21:42:07+00:00,,0.05107328,Withdraw,
,2018-01-08T21:43:32+00:00,,0.02553664,Withdraw,
,2018-01-08T21:45:08+00:00,,0.02277868,Withdraw,
,2018-01-08T22:10:11+00:00,0.02277868,,Trade,
,2018-01-08T23:00:03+00:00,0.03420581,,Trade,
,2018-01-08T23:02:19+00:00,0.04833906,,Trade,
,2018-01-08T23:15:28+00:00,,0.02400000,Withdraw,
,2018-01-08T23:35:05+00:00,0.00537101,,Trade,
,2018-01-08T23:42:20+00:00,,0.03420581,Trade,
,2018-01-08T23:55:19+00:00,,0.00072000,Withdraw,
,2018-01-09T05:19:24+00:00,,0.00100000,Withdraw,
,2018-01-09T19:27:56+00:00,,0.01392783,Withdraw,
,2018-01-09T20:14:28+00:00,0.03348164,,Trade,
,2018-01-09T20:35:22+00:00,,0.00596064,Withdraw,
,2018-01-09T21:37:31+00:00,,0.02806966,Withdraw,
,2018-01-09T22:07:43+00:00,0.06001637,,Trade,
,2018-01-09T22:15:42+00:00,0.04758949,,Trade,
